Customer ID,Name,Gender,Country,Signup Date,Last Purchase,Age,Purchase Amount,Email
C1000,User_0,F,,17-10-2023,25-04-2023,40.960569836134795,228.62,user0@example.com
C1001,User_1,other,IN,01/26/2022,2025/06/23,33.340828385945784,244.86,user1@example.com
C1002,User_2,,U.K.,2022/09/08,12-07-2024,42.77226245720831,286.64,user4@example.com
C1003,User_3,,,23-05-2022,05/04/2025,53.2763582768963,284.3,user3@example.com
C1004,User_4,F,IN,"November 24, 2023","August 19, 2024",32.19015950331997,89.79,user4@example.com
C1005,User_5,Other,UK,"March 31, 2022",01 Jun 2023,32.19035651660983,124.97,user5@example.com
C1006,User_6,,United Kingdom,09-03-2023,11-05-2023,53.9505537860887,241.2,user6@example.com
C1007,User_7,F,United Kingdom,31-01-2022,11/12/2023,44.20921674983491,5000.0,user7@example.com
C1008,User_8,F,India,2022/08/12,09-07-2025,29.366307368780575,241.2,user8@example.com
C1009,User_9,other,United Kingdom,"June 02, 2023",07/09/2025,41.51072052303158,508.22,user9@example.com
C1010,User_10,female,U.K.,"January 28, 2022",2023/08/04,29.438987686250453,245.67,user10@example.com
C1011,User_11,female,US,"July 23, 2022",13-11-2024,29.41124295715692,290.85,user11@example.com
C1012,User_12,female,UK,2023/03/06,"December 29, 2023",37.90354725879241,276.32,user12@example.com
C1013,User_13,Female,India,"April 05, 2023",24 Jun 2025,12.040637064106427,252.11,user13@example.com
C1014,User_14,male,Australia,12-10-2022,2024/09/27,14.300986009843605,174.78,user14@example.com
C1015,User_15,Female,U.K.,13 Jun 2022,2023/08/31,28.252549649108328,260.72,user15@example.com
C1016,User_16,F,,12/15/2022,2025/03/30,22.846026555986914,138.17,user16@example.com
C1017,User_17,male,US,2022/06/09,21 Jun 2025,38.77096799114329,181.05,user17@example.com
C1018,User_18,,United States,11-12-2022,2023/01/26,24.103711093745467,161.17,user18@example.com
C1019,User_19,M,IN,05 Apr 2022,01/24/2025,18.052355583976503,206.55,user19@example.com
C1020,User_20,Female,UK,04/10/2022,12 Mar 2025,52.587785227058646,385.17,user20@example.com
C1021,User_21,Female,india,"December 19, 2022",2025/04/01,32.29068439416157,50.62,user56@example.com
C1022,User_22,other,U.K.,28-09-2022,2023/10/01,,254.9,user22@example.com
C1023,User_23,female,IN,"April 16, 2023",17-03-2025,17.903021765438517,70.98,user23@example.com
C1024,User_24,,USA,08 May 2022,27-01-2024,28.467407305697808,162.25,user24@example.com
C1025,User_25,female,IN,"March 22, 2022",29 May 2025,36.33107107651839,287.12,user25@example.com
C1026,User_26,male,,"October 28, 2022",2023/08/16,21.188077070932366,205.14,user26@example.com
C1027,User_27,Female,IN,"January 06, 2023",16 Apr 2025,39.508376220148065,113.78,user27@example.com
C1028,User_28,female,Australia,16-07-2022,12/25/2023,27.79233572097434,142.78,user28@example.com
C1029,User_29,Female,Australia,2022/02/16,2025/04/20,31.49967500248068,254.37,user29@example.com
C1030,User_30,F,AU,24-10-2022,17-08-2023,27.77952065324724,141.57,user30@example.com
C1031,User_31,M,United Kingdom,27-08-2022,2024/11/06,57.22733821410725,217.32,user31@example.com
C1032,User_32,female,US,01/25/2023,02/13/2024,34.83803330314479,203.65,user32@example.com
C1033,User_33,Male,United Kingdom,04/10/2023,13-10-2023,22.307468852529198,147.87,user33@example.com
C1034,User_34,,U.K.,06/16/2022,03/02/2025,44.870538945238266,371.52,user34@example.com
C1035,User_35,M,United Kingdom,2022/12/30,"December 26, 2023",20.349876200347733,250.71,user35@example.com
C1036,User_36,female,india,11/18/2023,"February 14, 2024",37.50636314005706,37.99,user36@example.com
C1037,User_37,Male,india,20-12-2023,06-12-2023,11.483958513442694,214.92,user37@example.com
C1038,User_38,Male,U.K.,2023/09/16,04/29/2023,19.061767413218835,147.06,user38@example.com
C1039,User_39,,U.K.,2023/07/01,"July 02, 2023",37.36233483042948,268.19,user39@example.com
C1040,User_40,female,UK,17 Jun 2022,29-09-2023,43.86159895994493,136.6,user40@example.com
C1041,User_41,M,United Kingdom,01/24/2023,"April 22, 2023",37.05641937427965,190.82,user41@example.com
C1042,User_42,other,india,"October 18, 2023",03/20/2024,33.612220611341115,240.4,user42@example.com
C1043,User_43,male,India,08/13/2022,01/16/2025,31.386755652928535,269.26,user43@example.com
C1044,User_44,Male,,2022/02/27,"March 22, 2024",17.257736115590873,103.98,user44@example.com
